sku	asin	price	quantity
B7PLA008P0	B00TMF3Q8W	21.99	1
B7PLA009P0	B00TMF3PZ6	21.99	1
B7PLA011P0	B00TMF3PYM	21.99	1
B7PLA014P0	B00TMFYC4Y	54.99	1
B7PLA018P0	B00TMI0V3C	53.99	1
B7PLA019P0	B00TMI0V1O	53.99	1
B7PLA020P0	B00TMI0XDA	53.99	1
B7PLA021G0	B00TMIF4I4	42.99	1
B7PLA023P0	B00TMIF49I	42.99	1
B7PLA024P0	B00TMIF4H0	42.99	1
B7PLA025G0	B00TMIF4JI	42.99	1
B7PLA026G0	B00TMIF4JS	42.99	2
B7PLA027P0	B00TMKM3WC	54.99	1
B7PLA028G0	B00TMKM3YU	54.99	1
B7PLA029P0	B00TMKM3XG	54.99	1
B7PLA030P0	B00TMKM3PE	54.99	1
B7PLA031P0	B00TMLOVLW	48.99	1
B7PLA032P0	B00TMLOW4I	48.99	1
B7PLA033P0	B00TMLOVA8	48.99	1
B7PLA034P0	B00TMLOXOW	48.99	1
B7PLA035P0	B00TMLOV8K	48.99	1
B7PLA036G0	B00TMLOXLU	48.99	1
B7PLA038P0	B00TMMB70O	45.99	1
B7PLA039G0	B00TMMB704	45.99	1
B7PLA040P0	B00TMMB768	45.99	1
B7PLA041G0	B00TMMB75E	45.99	1
B7PLA043P0	B00TMNKAV0	38.99	1
B7PLA044G0	B00TMNKAVU	38.99	1
C0-0CQ9-XHTO	B008TYUP9U	69.99	1
CI-XFZI-O9GE	B00FYKMW8E	51.99	4
DB-VDY9-0DW2	B008J7BTL0	41.99	9
DI-GTN5-4CTM	B00FZIE4BI	26.99	1
ES-FC7V-79ZY	B00FZJB4OC	36.99	2
F2-KPWE-U3T2	B00FXRAQU4	68.99	1
FO-OYQY-3RFD	B00FYKP1LO	81.99	1
G2-7C5J-A769	B00FZIBNZI	26.99	3
G2-W5TC-A769	B00FZJB050	36.99	1
GJ-B1EM-ZIJR	B008QFQOUG	49.99	4
Gd0328-1	B00PBJIVBA	119.99	7
Gd0328-2	B00PBJIWVO	119.99	10
H8-WV03-TTAE	B00FZJN12U	32.99	4
H8-ZIDG-TIET	B00FYKMUW2	40.99	1
HU-VTM5-3615	B00FZIBV00	26.99	2
HX-455U-MRYW	B00FZJBKDW	36.99	1
IM-7E8D-FBKO	B008TYF8QK	59.99	3
IP-FLVS-ZNGM	B00FZJATXE	36.99	1
